artery no.,R1[mmHg.s/ml],R2[mmHg.s/ml],R3[mmHg.s/ml],C[ml/mmHg],L[mmHg.s2/ml]
8,16.50049495524067,38.51265030438971,0.0,0.038046681523968,0.025027304308959
14,1.73349187591861,11.87121285962817,0.0,0.14449872179392,0.012842230573005
19,16.50049495524067,38.51265030438971,0.0,0.038046681523968,0.025027304308959
22,2.371462983786204,31.91664754216679,0.0,0.055344362840840995,0.02075084420805
23,3.2472100626426017,19.817201419758895,0.0,0.086569054039576,0.016591709297404
24,6.28063899371257,47.05422163050229,0.0,0.037136869555529,0.025332019852992
26,1.0418483487419137,7.987991990969146,0.0,0.21593629206841,0.010505328710675
28,1.7358714000186262,9.524282883807501,0.0,0.17774178031754,0.011579177272882
30,1.7358714000186262,9.524282883807501,0.0,0.17774178031754,0.011579177272882
32,4.1235729751716415,60.88832627689614,0.0,0.02920164101341,0.028567276411064
36,7.920105688441406,45.615896400073034,0.0,0.036167170080079,0.025669369503467005
37,6.179183278047516,26.578568013680155,0.0,0.060174810171002006,0.019900551007918
41,4.976145738644465,27.378459015473606,0.0,0.060174810171002006,0.019900551007918
42,10.950130773922199,60.909787710725396,0.0,0.027101470124251997,0.029653505489417
43,39.41492527027712,743.8607093218882,0.0,0.0023831146234603,0.1
44,11.746710699265407,41.19118378352912,0.0,0.038046681523968,0.025027304308959
45,11.746710699265407,41.19118378352912,0.0,0.038046681523968,0.025027304308959
46,39.41492527027712,743.8607093218882,0.0,0.0023831146234603,0.1
51,7.920105688441406,45.615896400073034,0.0,0.036167170080079,0.025669369503467005
52,6.179183278047516,26.578568013680155,0.0,0.060174810171002006,0.019900551007918
54,4.976145738644465,27.378459015473606,0.0,0.060174810171002006,0.019900551007918
55,10.950130773922199,60.909787710725396,0.0,0.027101470124251997,0.029653505489417
58,16.841377949257822,67.36551179703129,0.0,0.039291244567818,0.024627740739992996
61,6.9211687700015965,27.684675080006386,0.0,0.080034690245299,0.017255729794713
63,14.591839227913862,58.36735691165545,0.0,0.039676552235793,0.024507866312575
65,14.829808185296386,59.319232741185544,0.0,0.039676552235793,0.024507866312575
67,7.587063706870661,30.348254827482645,0.0,0.080034690245299,0.017255729794713
70,16.694593276572775,66.7783731062911,0.0,0.039291244567818,0.024627740739992996
74,34.2912000079342,255.49897005377733,0.0,0.006815010636720901,0.05913426413126101
75,34.2912000079342,255.49897005377733,0.0,0.006815010636720901,0.05913426413126101
78,28.5760000046742,212.9158083637106,0.0,0.0081780127646197,0.05398195064177
79,28.5760000046742,212.9158083637106,0.0,0.0081780127646197,0.05398195064177
80,28.5760000046742,212.9158083637106,0.0,0.0081780127646197,0.05398195064177
81,28.5760000046742,212.9158083637106,0.0,0.0081780127646197,0.05398195064177
82,28.5760000046742,212.9158083637106,0.0,0.0081780127646197,0.05398195064177
83,28.5760000046742,212.9158083637106,0.0,0.0081780127646197,0.05398195064177
84,1.9881433105536108,0.0,0.0,inf,0.002
85,1.5957510274409303,0.0,0.0,inf,0.002
86,14.332855050667703,0.0,0.0,inf,0.002
87,10.309404369662753,0.0,0.0,inf,0.002
88,2.552848121181705,0.0,0.0,inf,0.002
89,21.149716124047593,0.0,0.0,inf,0.002
90,4.101235745595737,0.0,0.0,inf,0.002
