cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
1,72.27731535956264,16.876212157309055,6.544242136180401,34.85277649760246,5.3791934587061405,8.313195697963238,0.3116954118013382
2,129.41150857880712,33.25148052722216,11.973118506371975,58.96217332407832,8.17297587543726,16.426136262714863,0.6256240829825401
3,185.01292020082474,49.62256007269025,17.36375004425645,81.66951486468315,10.960293903946877,24.465198051184416,0.9316032640635967
4,240.96357275545597,66.03425880149007,22.66336664929986,104.61829688027501,13.762195397168398,32.63960583135486,1.2458491958677769
5,296.5903773717582,82.40713699907064,27.902698662132025,127.48135021701455,16.557336285710335,40.68763971328735,1.554215494543314
6,352.37928907573223,98.78875771537423,33.12560596689582,150.41632917895913,19.360697079449892,48.81849968805909,1.8693994469940662
7,408.6369199194014,115.19631992653012,38.377377554774284,173.50762812793255,22.18490255251527,57.187855660915375,2.1828360967338085
8,465.2311401553452,131.69935643672943,43.687293257564306,196.62144599854946,25.017617866396904,65.702875521034,2.5025510750710964
9,520.7925207205117,148.062105409801,49.0139044970274,219.25565782561898,27.819206185638905,73.82962067052722,2.8120261318981647
10,576.3587913960218,164.44280783459544,54.395686712116,241.80809511244297,30.622901562601328,81.95952096581459,3.1297792084515095
11,632.0393541790545,180.85191683471203,59.84427934139967,263.97972963005304,33.44479902461171,90.4765572026372,3.44207214564085
12,687.259190890938,197.2263117134571,65.33872693032026,285.9824772812426,36.24838602915406,98.70561964064837,3.757669296115637
13,742.2225784659386,213.61995872110128,70.8993229791522,307.5370102189481,39.06657527759671,107.02726105228066,4.072450216859579
14,797.9815670214593,230.1719468869269,76.52198952063918,329.0290071181953,41.90663630142808,115.9561104811728,4.3958767130970955
15,854.0378400087357,246.84160242974758,82.21593864634633,350.08680979162455,44.75483453646302,125.42427637800574,4.714378226548433
16,908.7779740653932,263.32962476462126,87.93771589919925,370.94053926318884,47.5732502117753,133.9615440890193,5.035299837589264
17,963.0916997008026,279.8224764429033,93.71563016995788,391.3925837762654,50.391514271497726,142.42125546187162,5.348239578306675
18,1017.4752088822424,296.33760259673,99.53018440678716,411.79267709329724,53.20809068530798,150.93855126947165,5.668102830648422
19,1071.5686269067228,312.8364405371249,105.38433130085468,431.8977088108659,56.02104880660772,159.4501538462937,5.978943604975939
20,1126.065006095916,329.3343194015324,111.25490137562156,451.9426393471658,58.828116320073605,167.93584213778377,6.769187513738871
21,1180.1824363470078,345.88009471818805,117.16478729620576,471.81833931058645,61.651449378579855,176.58426306396723,7.08350257948041
22,1234.5176078639925,362.4273962378502,123.08991054818034,491.7044975049794,64.48651841655374,185.40402377024293,7.4052613861858845
23,1288.6688008457422,378.9711344130337,129.03062149137259,511.5557419285178,67.30705244094133,194.08048755675554,7.7237630151212215
24,1345.2747800312936,395.9223855510354,135.0178029164672,531.6248269453645,70.19875435903668,204.45573744922876,8.055272810161114
25,1401.3098648786545,412.76096707209945,140.9956727065146,551.6770245060325,73.08158247545362,214.41634822636843,8.378269892185926
26,1457.112342737615,429.56436885148287,146.96502843126655,571.7093619331717,75.9563375748694,224.20933816954494,8.707907777279615
27,1511.998057898134,446.2336984165013,152.91110772639513,591.6151070855558,78.79059760272503,233.4239986948669,9.023548372089863
28,1566.3247304782271,462.79636930674314,158.8346526287496,611.4768048077822,81.61432410776615,242.25651122257113,9.346068404614925
29,1621.1946531794965,479.4592987447977,164.75817528739572,631.4443772658706,84.45729809626937,251.41108306497335,9.66442072018981
30,1675.784442909062,496.0829989798367,170.6707634665072,651.470126349479,87.29846089705825,260.27453412115574,9.987559095025063
31,1730.1531947553158,512.6246766932309,176.5592193827033,671.4815254025161,90.12757816165686,269.0580559335649,10.302139181643724
32,1784.2079224176705,529.1141281910241,182.43540210276842,691.4717895686626,92.94756931439042,277.6152839772403,10.623749263584614
33,1838.7145642228425,545.6699054166675,188.31322046369314,711.6494056880474,95.77501981332898,286.368358630687,10.938654210418463
34,1893.2164002284408,562.2254002653062,194.17714162543416,731.8356722854078,98.60470202192664,295.11057817935944,11.262905851006508
35,1947.4275077432394,578.7204865626991,200.03231078013778,752.0063016042113,101.41913060098886,303.67294515296817,11.576333042234182
36,2001.7083410136402,595.2348832115531,205.88067926466465,772.1880109868944,104.23016441240907,312.2776534445584,11.8969496935606
37,2055.883361183107,611.7367156036198,211.72229250892997,792.3963230252266,107.03745507448912,320.7796390503645,12.210935920476913
38,2110.5882336832583,628.3212605714798,217.57014415040612,812.6601531468332,109.8635796494782,329.63814778998494,12.534948375076056
39,2165.225908551365,644.8765885867178,223.42434692382812,832.9208106584847,112.69146583601832,338.4629030264914,12.849793519824743
40,2221.8631377220154,661.7698402665555,229.31907331570983,853.3882707171142,115.57575449720025,348.62811954692006,13.182079378515482
41,2279.3679822161794,678.8339363746345,235.2338914014399,873.8737915717065,118.48361997306347,359.42887138202786,13.513871513307095
42,2338.034383971244,696.0847092457116,241.17625467851758,894.4804109148681,121.42911117523909,371.0092352889478,13.854662667959929
43,2394.0210499614477,712.880690664053,247.06912564858794,914.8124495632946,124.29479432106018,380.77478647604585,14.189203288406134
44,2448.792116943747,729.4825008250773,252.93980686366558,935.0360689237714,127.12653759121895,389.6898073852062,14.517395354807377
45,2506.307892292738,746.4266966059804,258.8469323925674,955.4001659750938,130.01622005552053,400.7718184888363,14.846058774739504
46,2561.1101720817387,763.0253888852894,264.72009428590536,975.6199697107077,132.85327971354127,409.7147079370916,15.176731549203396
47,2616.682635784149,779.7444306202233,270.6147811859846,995.8993888907135,135.72008509933949,419.20092175528407,15.503028232604265
48,2672.7208765894175,796.5469540767372,276.5171182900667,1016.1892301663756,138.5908222720027,429.03808606415987,15.838665720075369
49,2728.806226950139,813.3510189130902,282.42137710377574,1036.504957191646,141.46748360991478,438.8952228501439,16.16616728156805
50,2783.298678316176,829.9226914569736,288.2977746166289,1056.6487628556788,144.2955411784351,447.6400078982115,16.493900310248137
51,2837.9288566708565,846.5119715332985,294.1815209649503,1076.8139753229916,147.12466007471085,456.48349625617266,16.813232518732548
52,2892.533571906388,863.0902049727738,300.0621534585953,1096.9664651677012,149.94980185106397,465.3193918466568,17.14555460959673
53,2947.7875087186694,879.7817865945399,305.9583284072578,1117.2063890248537,152.79944989457726,474.568988583982,17.472566213458776
54,3002.707827322185,896.3956802897155,311.8371611498296,1137.4097239524126,155.64227316901088,483.60754944756627,17.81543931365013
55,3057.501508794725,912.9766901470721,317.7225109189749,1157.6056283265352,158.4867626056075,492.56698124855757,18.142935547977686
56,3111.630382820964,929.4687013700604,323.58798388391733,1177.7115183584392,161.3045970723033,501.00493074581027,18.55265139043331
57,3160.191069215536,945.9565652050078,323.59990245848894,1198.2810176722705,164.1209964901209,509.3534955121577,18.879091877490282
58,3208.359715901315,962.4266005940735,323.6118884123862,1218.4293851219118,166.9407012052834,517.7411956116557,19.20994495600462
59,3256.8818253315985,978.9719386510551,323.6241847574711,1238.5911660306156,169.7665958441794,526.3946250863373,19.53331496194005
60,3306.109973885119,995.6397931501269,323.63675032556057,1258.8020529299974,172.61155899986625,535.5510595589876,19.86875892058015
61,3355.61526748538,1012.3876622058451,323.64939508214593,1279.061501055956,175.47381725907326,544.8405750654638,20.2023168168962
62,3404.266962222755,1028.9639126211405,323.6616522334516,1299.2066084332764,178.3081076219678,553.5863140076399,20.540367305278778
63,3452.811043009162,1045.5292902812362,323.67388639971614,1319.3945570103824,181.1464543864131,562.1922689825296,20.874585948884487
64,3501.433666355908,1062.08874091506,323.68623538315296,1339.5434048697352,183.98445601016283,570.9178633801639,21.212965797632933
65,3550.8396623656154,1078.7961337603629,323.6989235840738,1359.759859457612,186.84249012172222,580.1968618817627,21.54539356008172
66,3599.3254004195333,1095.3342248946428,323.7111933864653,1379.8986020088196,189.6785818375647,588.8214053846896,21.881392907351255
67,3648.0017490834,1111.9514946304262,323.72337406501174,1400.0946181379259,192.52188408002257,597.4988539963961,22.211524173617363
68,3696.832872763276,1128.5373932532966,323.7356669381261,1420.232213333249,195.35370549559593,606.1879856288433,22.785908114165068
